HGNC ID	Approved symbol	Alias symbol	Previous symbol
HGNC:4035	ACKR1	CD234	DARC
HGNC:1565	ACKR2	CCR10	CMKBR9
HGNC:1565	ACKR2	CCR10	CCBP2
HGNC:1565	ACKR2	D6	CMKBR9
HGNC:1565	ACKR2	D6	CCBP2
HGNC:1565	ACKR2	CCR9	CMKBR9
HGNC:1565	ACKR2	CCR9	CCBP2
HGNC:23692	ACKR3	RDC1	CMKOR1
HGNC:23692	ACKR3	RDC1	CXCR7
HGNC:23692	ACKR3	GPR159	CMKOR1
HGNC:23692	ACKR3	GPR159	CXCR7
HGNC:1611	ACKR4	CCR11	CCRL1
HGNC:1611	ACKR4	CCBP2	CCRL1
HGNC:1611	ACKR4	VSHK1	CCRL1
HGNC:1611	ACKR4	CCX-CKR	CCRL1
HGNC:1611	ACKR4	PPR1	CCRL1
HGNC:114	ACLS		
HGNC:115	ACLY	ATPCL	
HGNC:115	ACLY	CLATP	
HGNC:115	ACLY	ACL	
HGNC:116	ACMG		
HGNC:19288	ACMSD		
HGNC:34504	ACNATP		BAATP1
HGNC:117	ACO1	IRP1	IREB1
HGNC:117	ACO1	IREBP	IREB1
HGNC:118	ACO2	ACONM	
HGNC:33904	ACOD1	CAD	IRG1
HGNC:33128	ACOT1	ACH2	
HGNC:33128	ACOT1	CTE-1	
HGNC:33128	ACOT1	LACH2	
HGNC:18431	ACOT2	Mte1	
HGNC:18431	ACOT2	ZAP128	
HGNC:19748	ACOT4	FLJ31235	
HGNC:19748	ACOT4	PTE-Ib	
HGNC:19748	ACOT4	PTE2B	
HGNC:33159	ACOT6		C14orf42
HGNC:24157	ACOT7	BACH	
HGNC:24157	ACOT7	ACH1	
HGNC:24157	ACOT7	ACT	
HGNC:24157	ACOT7	CTE-II	
HGNC:24157	ACOT7	LACH1	
HGNC:24157	ACOT7	MGC1126	
HGNC:24157	ACOT7	hBACH	
HGNC:15919	ACOT8	hACTE-III	PTE1
HGNC:15919	ACOT8	hTE	PTE1
HGNC:15919	ACOT8	PTE-2	PTE1
HGNC:15919	ACOT8	NAP1	PTE1
HGNC:17152	ACOT9	CGI-16	
HGNC:17152	ACOT9	MT-ACT48	
HGNC:17152	ACOT9	ACATE2	
HGNC:18156	ACOT11	STARD14	THEA
HGNC:18156	ACOT11	BFIT	THEA
HGNC:18156	ACOT11	KIAA0707	THEA
HGNC:18156	ACOT11	BFIT1	THEA
HGNC:18156	ACOT11	THEM1	THEA
HGNC:24436	ACOT12	Cach	
HGNC:24436	ACOT12	THEAL	
HGNC:24436	ACOT12	STARD15	
HGNC:20999	ACOT13	HT012	THEM2
HGNC:119	ACOX1	PALMCOX	
HGNC:120	ACOX2	BRCACOX	
HGNC:120	ACOX2	BRCOX	
HGNC:120	ACOX2	THCCox	
HGNC:121	ACOX3		
HGNC:25621	ACOXL	FLJ11042	
HGNC:41112	ACOXL-AS1		
HGNC:122	ACP1	HAAP	
HGNC:122	ACP1	LMW-PTP	
HGNC:122	ACP1	LMWPTP	
HGNC:123	ACP2	LAP	
HGNC:14376	ACP4		ACPT
HGNC:124	ACP5	TRAP	
HGNC:124	ACP5	HPAP	
HGNC:29609	ACP6	LPAP	
HGNC:29609	ACP6	ACPL1	
HGNC:33781	ACP7	FLJ16165	
HGNC:33781	ACP7	PAPL1	
HGNC:33781	ACP7	PAPL	
HGNC:125	ACPP	ACP3	
HGNC:125	ACPP	ACP-3	
HGNC:125	ACPP	PAP	
HGNC:126	ACR		
HGNC:17195	ACRBP	SP32	
HGNC:17195	ACRBP	OY-TES-1	
HGNC:17195	ACRBP	CT23	
HGNC:127	ACRV1	SPACA2	
HGNC:127	ACRV1	SP-10	
HGNC:127	ACRV1	D11S4365	
HGNC:29567	ACSBG1	BGM	
HGNC:29567	ACSBG1	FLJ30320	
HGNC:29567	ACSBG1	MGC14352	
HGNC:29567	ACSBG1	BG1	
HGNC:29567	ACSBG1	KIAA0631	
HGNC:29567	ACSBG1	hBG1	
HGNC:29567	ACSBG1	hsBG	
HGNC:24174	ACSBG2	BGR	
HGNC:24174	ACSBG2	PRTD-NY3	
HGNC:24174	ACSBG2	DKFZp434K1635	
HGNC:26101	ACSF2	FLJ20920	
HGNC:26101	ACSF2	ACSMW	
HGNC:27288	ACSF3		
HGNC:3569	ACSL1	LACS2	FACL2
HGNC:3569	ACSL1	LACS	FACL2
HGNC:3569	ACSL1	ACS1	FACL2
HGNC:3569	ACSL1	LACS1	FACL2
HGNC:3569	ACSL1	FACL1	FACL2
HGNC:3570	ACSL3	ACS3	FACL3
HGNC:3570	ACSL3	PRO2194	FACL3
HGNC:3571	ACSL4	ACS4	FACL4
HGNC:3571	ACSL4	ACS4	MRX63
HGNC:3571	ACSL4	ACS4	MRX68
HGNC:3571	ACSL4	LACS4	FACL4
HGNC:3571	ACSL4	LACS4	MRX63
